ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
621	0,0,1	3320,2558,3596	0,0,1	5693,3212,5790	102	99
624	0,0,0	77,43,93	1,0,1	72,28,68	134	99
626	4,0,2	84,57,91	2,1,2	112,73,105	130	99
627	64,84,138	13,9,9	128,61,147	7,0,3	131	99
628	32,44,72	0,0,2	83,29,89	0,0,0	128	99
629	37,16,67	8,3,4	29,20,32	3,2,3	198	99
630	6,8,7	283,205,384	7,5,10	366,174,386	102	99
631	293,218,397	0,0,1	393,185,410	2,0,1	119	99
632	107,85,161	7,6,0	139,77,185	14,12,18	151	99
633	15,9,12	26,21,57	33,17,39	12,9,18	102	99
635	4,4,3	158,113,198	2,2,2	177,65,173	100	99
637	16,10,40	1,0,0	32,13,28	0,0,0	104	99
640	229,192,287	0,0,0	230,172,297	0,0,2	163	99
641	145,133,213	3,2,1	218,120,254	2,1,3	158	99
642	52,54,84	4,3,4	50,29,70	12,1,8	107	99
643	8,4,10	525,369,563	5,2,11	738,514,897	141	99
644	0,0,1	683,502,763	0,0,0	758,495,829	102	99
645	2,0,1	164,92,183	0,1,5	249,133,275	101	99
646	4,1,8	125,94,159	3,1,1	163,73,141	125	99
648	45,60,117	1,0,0	78,49,84	0,0,0	198	99
649	312,250,484	2,7,4	434,246,425	7,3,6	110	99
650	10,7,9	2,2,7	6,10,10	3,2,5	198	99
651	296,237,362	0,0,0	387,201,407	1,0,0	113	99
652	8,8,8	9,4,10	26,17,27	4,14,17	198	99
653	9,9,5	391,327,588	7,1,3	470,336,541	102	99
655	66,48,83	1,1,0	103,90,135	0,0,1	128	99
656	49,38,63	0,0,0	56,40,86	0,0,2	128	99
657	28,24,33	0,0,0	30,21,57	0,0,2	132	99
658	3,2,0	24,16,30	1,0,5	27,19,34	102	99
659	137,99,183	0,0,0	198,118,196	0,0,1	182	99
661	2,1,3	110,83,166	0,3,0	146,88,174	102	99
662	5,3,9	0,0,0	2,3,4	0,0,2	143	99
663	2,6,8	11,9,8	6,6,5	16,4,18	104	99
665	119,88,162	8,9,8	117,104,163	4,4,6	125	99
666	1,6,13	209,176,311	8,1,7	354,120,343	102	99
667	11,11,27	5,3,5	22,10,32	6,3,3	110	99
670	368,331,459	23,24,29	569,332,684	28,7,21	198	99
671	30,13,17	17,5,9	20,4,29	13,2,11	124	99
672	6,5,5	939,682,1161	7,6,1	1121,638,1242	173	99
673	180,118,224	0,1,2	180,86,195	2,4,4	135	99
674	4,7,18	33,10,28	21,16,29	11,11,12	102	99
675	5,0,1	29,26,46	2,0,0	23,22,37	153	99
676	1,0,0	30,15,23	0,1,0	26,12,14	155	99
678	38,28,54	1,0,0	32,21,29	0,0,0	198	99
680	0,0,1	33,25,28	0,3,1	40,22,32	104	99
681	1,0,3	0,6,1	7,3,4	3,0,4	101	99
683	0,0,1	0,0,0	3,0,1	0,1,0	105	99
685	40,39,39	0,0,0	41,33,51	0,0,2	198	99
687	0,0,1	25,13,34	0,0,3	17,4,15	180	99
690	3,8,15	13,6,21	22,9,31	18,13,29	198	99
691	59,48,70	21,20,23	89,48,96	20,20,31	102	99
692	0,1,0	160,71,155	2,0,0	156,86,170	104	99
693	0,0,0	193,173,221	4,0,0	187,87,177	163	99
694	202,135,187	14,9,17	206,140,315	6,6,18	143	99
695	160,111,217	6,1,6	152,119,180	10,7,8	106	99
696	1,0,0	125,98,154	4,2,1	165,95,160	102	99
698	0,2,1	22,16,19	3,2,4	15,13,13	198	99
699	137,53,136	1,0,0	104,71,123	0,0,0	198	99
700	13,9,9	21,15,23	11,21,26	7,4,8	158	99
704	99,74,128	2,0,0	146,70,121	0,1,1	154	99
705	119,95,166	0,0,0	79,58,103	2,1,0	198	99
706	0,0,0	19,17,34	0,0,2	17,7,18	160	99
710	5,6,4	4,0,9	20,9,19	10,5,18	129	99
712	7,1,5	112,72,171	11,9,29	82,44,85	135	99
715	32,24,53	0,1,2	46,7,55	8,2,4	119	99
717	0,1,0	1,0,1	0,1,1	2,1,4	198	99
718	0,2,0	6,2,5	0,1,2	2,4,11	198	99
719	1,1,1	6,2,5	2,1,5	2,4,11	115	99
720	6,4,8	21,15,25	5,9,2	23,16,23	198	99
